Node_Index	Parent_Node_Index	Node
1			1					4 7 0 1 2 8 3 5 6
2			1					4 7 8 1 2 0 3 5 6
3			1					4 0 7 1 2 8 3 5 6
4			2					4 7 8 1 2 6 3 5 0
5			2					4 7 8 1 0 2 3 5 6
6			3					4 2 7 1 0 8 3 5 6
7			3					0 4 7 1 2 8 3 5 6
8			4					4 7 8 1 2 6 3 0 5
9			5					4 0 8 1 7 2 3 5 6
10			5					4 7 8 1 5 2 3 0 6
11			5					4 7 8 0 1 2 3 5 6
12			6					4 2 7 1 5 8 3 0 6
13			6					4 2 7 0 1 8 3 5 6
14			6					4 2 7 1 8 0 3 5 6
15			7					1 4 7 0 2 8 3 5 6
16			8					4 7 8 1 0 6 3 2 5
17			8					4 7 8 1 2 6 0 3 5
18			9					0 4 8 1 7 2 3 5 6
19			9					4 8 0 1 7 2 3 5 6
20			10					4 7 8 1 5 2 0 3 6
21			10					4 7 8 1 5 2 3 6 0
22			11					0 7 8 4 1 2 3 5 6
23			11					4 7 8 3 1 2 0 5 6
24			12					4 2 7 1 5 8 0 3 6
25			12					4 2 7 1 5 8 3 6 0
26			13					0 2 7 4 1 8 3 5 6
27			13					4 2 7 3 1 8 0 5 6
28			14					4 2 0 1 8 7 3 5 6
29			14					4 2 7 1 8 6 3 5 0
30			15					1 4 7 3 2 8 0 5 6
31			15					1 4 7 2 0 8 3 5 6
32			16					4 0 8 1 7 6 3 2 5
33			16					4 7 8 0 1 6 3 2 5
34			16					4 7 8 1 6 0 3 2 5
35			17					4 7 8 0 2 6 1 3 5
36			18					1 4 8 0 7 2 3 5 6
37			19					4 8 2 1 7 0 3 5 6
38			20					4 7 8 0 5 2 1 3 6
39			21					4 7 8 1 5 0 3 6 2
40			22					7 0 8 4 1 2 3 5 6
41			23					4 7 8 3 1 2 5 0 6
42			24					4 2 7 0 5 8 1 3 6
43			25					4 2 7 1 5 0 3 6 8
44			26					2 0 7 4 1 8 3 5 6
45			27					4 2 7 3 1 8 5 0 6
46			28					4 0 2 1 8 7 3 5 6
47			29					4 2 7 1 8 6 3 0 5
48			30					1 4 7 3 2 8 5 0 6
49			31					1 0 7 2 4 8 3 5 6
50			31					1 4 7 2 5 8 3 0 6
51			31					1 4 7 2 8 0 3 5 6
52			32					0 4 8 1 7 6 3 2 5
53			32					4 8 0 1 7 6 3 2 5
54			33					0 7 8 4 1 6 3 2 5
55			33					4 7 8 3 1 6 0 2 5
56			34					4 7 0 1 6 8 3 2 5
57			34					4 7 8 1 6 5 3 2 0
58			35					0 7 8 4 2 6 1 3 5
59			35					4 7 8 2 0 6 1 3 5
60			36					1 4 8 3 7 2 0 5 6
61			36					1 4 8 7 0 2 3 5 6
62			37					4 8 2 1 7 6 3 5 0
63			37					4 8 2 1 0 7 3 5 6
64			38					0 7 8 4 5 2 1 3 6
65			38					4 7 8 5 0 2 1 3 6
66			39					4 7 0 1 5 8 3 6 2
67			39					4 7 8 1 0 5 3 6 2
68			40					7 1 8 4 0 2 3 5 6
69			40					7 8 0 4 1 2 3 5 6
70			41					4 7 8 3 0 2 5 1 6
71			41					4 7 8 3 1 2 5 6 0
72			42					0 2 7 4 5 8 1 3 6
73			42					4 2 7 5 0 8 1 3 6
74			43					4 2 0 1 5 7 3 6 8
75			43					4 2 7 1 0 5 3 6 8
76			44					2 1 7 4 0 8 3 5 6
77			44					2 7 0 4 1 8 3 5 6
78			45					4 2 7 3 0 8 5 1 6
79			45					4 2 7 3 1 8 5 6 0
81			46					0 4 2 1 8 7 3 5 6
82			47					4 2 7 1 0 6 3 8 5
83			47					4 2 7 1 8 6 0 3 5
84			48					1 4 7 3 0 8 5 2 6
85			48					1 4 7 3 2 8 5 6 0
86			49					0 1 7 2 4 8 3 5 6
87			49					1 7 0 2 4 8 3 5 6
88			50					1 4 7 2 5 8 0 3 6
89			50					1 4 7 2 5 8 3 6 0
